% x	sin(x)
% Khate dovvom
0.000	0.000
0.063	0.063
0.127	0.127
0.190	0.189
0.254	0.251
0.317	0.312
0.381	0.372
0.444	0.430
0.508	0.486
0.571	0.541
0.635	0.593
0.698	0.643
0.762	0.690
0.825	0.735
0.889	0.776
0.952	0.815
1.015	0.850
1.079	0.881
1.142	0.910
1.206	0.934
1.269	0.955
1.333	0.972
1.396	0.985
1.460	0.994
1.523	0.999
1.587	1.000
1.650	0.997
1.714	0.990
1.777	0.979
1.841	0.964
1.904	0.945
1.967	0.922
2.031	0.896
2.094	0.866
2.158	0.833
2.221	0.796
2.285	0.756
2.348	0.713
2.412	0.667
2.475	0.618
2.539	0.567
2.602	0.514
2.666	0.458
2.729	0.401
2.793	0.342
2.856	0.282
2.919	0.220
2.983	0.158
3.046	0.095
3.110	0.032
3.173	-0.032
3.237	-0.095
3.300	-0.158
3.364	-0.220
3.427	-0.282
3.491	-0.342
3.554	-0.401
3.618	-0.458
3.681	-0.514
3.745	-0.567
3.808	-0.618
3.871	-0.667
3.935	-0.713
3.998	-0.756
4.062	-0.796
4.125	-0.833
4.189	-0.866
4.252	-0.896
4.316	-0.922
4.379	-0.945
4.443	-0.964
4.506	-0.979
4.570	-0.990
4.633	-0.997
4.697	-1.000
4.760	-0.999
4.823	-0.994
4.887	-0.985
4.950	-0.972
5.014	-0.955
5.077	-0.934
5.141	-0.910
5.204	-0.881
5.268	-0.850
5.331	-0.815
5.395	-0.776
5.458	-0.735
5.522	-0.690
5.585	-0.643
5.649	-0.593
5.712	-0.541
5.775	-0.486
5.839	-0.430
5.902	-0.372
5.966	-0.312
6.029	-0.251
6.093	-0.189
6.156	-0.127
6.220	-0.063
6.283	-0.000
